,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
2286,-0.000896935
2288,-0.002701084
2290,0.001743323
2292,-0.000553641
2294,0.001408338
2296,-0.002276378
2298,-0.001378637
2300,0.005823599
2302,-0.000522426
2304,-0.008664553
2306,0.001059477
2308,0.008017654
2310,-0.002869574
2312,-0.000742339
2314,-0.001360542
2316,0.001090041
2318,-9.25E-05
2320,0.003817976
2322,-0.006305013
2324,0.004963198
2326,-0.006159817
2328,0.004744044
2330,0.00406113
2332,-0.006138455
2334,0.004024883
2336,-0.002133443
2338,-0.003839356
2340,0.005463558
2342,-0.002830052
2344,-0.000488635
2346,0.004897475
2348,-0.001200467
2350,-0.003346295
2352,0.002332482
2354,-0.002069361
2356,0.00144678
2358,-0.001928731
2360,-0.004605482
2362,0.008821963
2364,-0.001457066
2366,-0.00121653
2368,0.003053956
2370,-0.00724344
2372,0.0070636
2374,-0.003029742
2376,-0.002684942
2378,0.004434634
2380,-0.003119214
2382,-0.006491467
2384,0.01456255
2386,-0.007388562
2388,0.001709542
2390,-0.003192949
2392,0.001727945
2394,0.0096676
2396,-0.018860634
2398,0.009456257
2400,1.97E-05
2402,0.003698462
2404,-0.010093398
2406,0.001067542
2408,0.017140432
2410,-0.009778699
2412,-0.008812848
2414,0.006772859
2416,0.001901393
2418,0.000190838
2420,-0.003638388
2422,-0.000905887
2424,0.000646223
2426,0.007082705
2428,-0.005378211
2430,0.001719062
2432,-0.002604878
2434,-0.00345345
2436,-0.001024646
2438,0.0178917
2440,-0.013231509
2442,-0.001800419
2444,0.007903232
2446,-0.009223268
2448,-0.002066098
2450,0.007647637
2452,0.001495101
2454,3.31E-05
2456,-0.01020616
2458,0.007923692
2460,0.00392826
2462,-0.004021657
2464,-0.005630694
2466,-0.000797534
2468,0.013173267
2470,-0.009032349
2472,-0.005577203
2474,0.013330666
2476,-0.00087833
2478,-0.00784799
2480,0.002392642
2482,-0.005624852
2484,0.016196573
2486,-0.013675137
2488,-0.001268335
2490,0.008821414
2492,-0.004391718
2494,-0.002809057
2496,0.004126939
2498,-0.001060579
2500,-0.001743471
2502,-0.001876464
2504,0.008922586
2506,-0.004900783
2508,-0.006372934
2510,0.011588999
2512,-0.004240257
2514,-0.004666104
2516,-0.000241893
2518,0.009066447
2520,-0.005726067
2522,-0.007508193
2524,0.010085811
2526,0.003209489
2528,-0.011597652
2530,0.007002513
2532,-0.000491709
2534,0.002979051
2536,-0.002308189
2538,-0.009626848
2540,0.010715263
2542,-0.001758903
2544,0.001520541
2546,-0.003199945
2548,-0.001247739
2550,-0.000315314
2552,0.010220505
2554,-0.011832793
2556,0.000702882
2558,0.006822922
2560,0.001082857
2562,-0.011999043
2564,0.00746465
2566,0.001504396
2568,0.002632254
2570,-0.011377549
2572,0.006210391
2574,0.009347732
2576,-0.01171334
2578,0.010298377
2580,-0.016700948
2582,0.003953117
2584,0.019242758
2586,-0.014828341
2588,-0.005923812
2590,0.001625034
2592,0.025275491
2594,-0.02836899
2596,0.002473567
2598,0.013557564
2600,-0.00582355
2602,-0.007254474
2604,-0.001546271
2606,0.019989815
2608,-0.016288301
2610,-0.004408249
2612,0.015387533
2614,0.000613603
2616,-0.004302919
2618,-0.021837679
2620,0.016350019
2622,0.012516806
2624,-0.020730376
2626,0.021429025
2628,-0.021084725
2630,0.010340853
2632,0.014225073
2634,-0.015383916
2636,0.006738863
2638,-0.025195599
2640,0.027861086
2642,-0.004445469
2644,-0.0185027
2646,0.01494092
2648,0.003564846
2650,0.002157558
2652,-0.014600856
2654,0.012505436
2656,0.009803399
2658,-0.022041797
2660,-8.22E-05
2662,0.000594943
2664,0.016057826
2666,-0.004811479
2668,-0.017412789
2670,0.019471265
2672,0.003822831
2674,-0.004114745
2676,-0.013088942
2678,-0.005920231
2680,0.028404989
2682,-0.006845809
2684,-0.04538678
2686,0.053852451
2688,0.016787413
2690,-0.052553027
2692,-0.008117671
2694,0.044726188
2696,-0.002048924
2698,-0.043864264
2700,0.033979872
2702,0.008932861
2704,-0.008356706
2706,-0.020227058
2708,0.022348546
2710,-0.00761212
2712,-0.004870199
2714,-0.003428908
2716,0.004805568
2718,0.021332571
2720,-0.025654672
2722,-0.015301066
2724,0.04501273
2726,-0.028993469
2728,0.010253996
2730,-0.0013593
2732,-0.009404624
2734,0.01290474
2736,-0.004291135
2738,-0.010158562
2740,0.016174048
2742,-0.012574844
2744,0.001735228
2746,0.013891915
2748,-0.012830117
