S,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
50.3125,0.005598176358034834
50.375,-0.0059740023061749525
50.4375,0.002655682237673318
50.5,0.004671581336879171
50.5625,-0.0016620177802906255
50.625,-0.007141422429413069
50.6875,0.006744759048160631
50.75,-0.002793206704154727
50.8125,0.0007763911753499997
50.875,-0.0007310969181162363
50.9375,0.0009178444315693923
51,-0.0004209533983612346
51.0625,0.0005951482648924866
51.125,-0.0006125038112259062
51.1875,0.0011813772289315239
51.25,-0.003163061364830355
51.3125,0.0025862877919280436
51.375,-0.0004668387134643126
51.4375,0.0003041396894332138
51.5,-0.0002936507428330515
51.5625,0.00021118263759944966
51.625,-0.0005959887516837625
51.6875,0.0005233745241639554
51.75,-1.1012100120666446e-06
51.8125,-0.000526129610989301
51.875,0.0001891101533146866
51.9375,0.0008695028554939199
52,-0.0016318871303155902
52.0625,0.0014156105407892028
52.125,-0.00040087178376779775
52.1875,7.064175377990978e-05
52.25,0.00037056290125292435
52.3125,-0.0006804881422795006
52.375,0.0003406313737741584
52.4375,-0.0002517027724024956
52.5,-0.0009335252570963348
52.5625,0.001479694901718176
52.625,-0.0007235066732391715
52.6875,0.0013237502116680844
52.75,-0.0019956776213803096
52.8125,0.002505945531083853
52.875,-0.0030407898066187045
52.9375,0.0016320223039656412
53,0.00011549979461733528
53.0625,-0.0007279085139089148
53.125,0.0010327036079615937
53.1875,-0.0007875755159147957
53.25,0.00044715378066939593
53.3125,-0.0013747534239882953
53.375,0.0014721821344210184
53.4375,-0.00030470494039036566
53.5,4.682448562220998e-05
53.5625,0.00029383906507973734
53.625,-0.00010620679091744023
53.6875,-0.0008789446610535379
53.75,0.000948330637129402
53.8125,-0.0003764568816677638
53.875,0.0003079902626268449
53.9375,4.9377586464061096e-05
54,-0.00044444044533520355
54.0625,-5.837812722120361e-05
54.125,5.341309261552851e-05
54.1875,0.00037436606703522557
54.25,-7.741258301052767e-06
54.3125,-0.0002347231315980025
54.375,-0.00018267978418862185
54.4375,0.0006246652901609195
54.5,-0.0016813579577501514
54.5625,0.002264271870444645
54.625,-0.001829201551117876
54.6875,0.0008690211643624934
54.75,-4.32713491704817e-05
54.8125,7.78800881562347e-05
54.875,0.00029591805628115253
54.9375,-0.00015912654305338947
55,-0.000732610942577594
55.0625,0.0005809318963656551
55.125,0.0002699178480725095
55.1875,-0.0006926987907718285
55.25,0.00019348684077158396
55.3125,0.00014331557451896515
55.375,-0.0003583439536214428
55.4375,0.0011228795528950286
55.5,-0.0004159258821800904
55.5625,-0.00025375712198183464
55.625,-0.000466787497543919
55.6875,0.00042045857640005124
55.75,-6.563712418028445e-05
55.8125,-3.016121397081406e-05
55.875,-0.00014654325752871955
55.9375,0.001027286316457321
56,-0.0016015840174077312
56.0625,0.000562376328616665
56.125,0.0004405863762713125
56.1875,-0.0009281406505579071
56.25,0.0013522056860892917
56.3125,-0.0005256666213426797
56.375,-0.00019120059846500226
56.4375,0.00018403693502477836
56.5,5.3133305755181937e-05
56.5625,-0.0004740595045404916
56.625,-0.0006840862738499709
56.6875,0.001422703235220979
56.75,0.0006390110343090782
56.8125,-0.0015094639138624188
56.875,0.0006954469427000731
56.9375,-0.0005737593369303795
57,0.0004559078092825075
57.0625,-0.00046195901859391597
57.125,0.00044820771449849417
57.1875,0.00036166295558359707
57.25,-0.0006784208039789519
57.3125,0.0003057394053485041
57.375,-0.0008906290531740524
57.4375,0.0003825493593012652
57.5,0.0013728449630434625
57.5625,-0.0005313650035532191
57.625,-0.0016252449768217048
57.6875,0.0008692765050000162
57.75,0.001430580937267223
57.8125,-0.0020433492409210885
57.875,0.002568209310993552
57.9375,-0.0028120341539761284
58,0.0010828407539520413
